semana,fecha_inicio_semana,sku,descripcion,categoria,tiempo_entrega_semanas,costo_unitario_usd,demanda_cliente_final,pedido_retailer_a_distribuidor,pedido_distribuidor_a_fabrica,pedido_fabrica_a_proveedor,inventario_retailer,inventario_distribuidor,inventario_fabrica
1,2025-01-06,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,488,525,157,229,1569,2632,8072
2,2025-01-13,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,541,508,1202,1642,1509,3326,8512
3,2025-01-20,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,508,540,162,255,1492,2948,8605
4,2025-01-27,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,544,520,1166,1581,1439,3594,9020
5,2025-02-03,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,438,407,122,194,1372,3309,9092
6,2025-02-10,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,578,584,1467,1936,1382,4192,9561
7,2025-02-17,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,557,608,182,270,1455,3766,9649
8,2025-02-24,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,580,541,1399,2221,1374,4624,10471
9,2025-03-03,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,604,629,188,289,1383,4183,10572
10,2025-03-10,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,521,574,1306,1935,1387,4915,11201
11,2025-03-17,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,511,528,158,199,1371,4545,11242
12,2025-03-24,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,560,602,1554,2429,1376,5497,12117
13,2025-03-31,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,535,553,165,236,1405,5109,12188
14,2025-04-07,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,631,621,1449,1948,1397,5937,12687
15,2025-04-14,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,596,620,186,250,1399,5503,12751
16,2025-04-21,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,576,622,1364,2176,1482,6245,13563
17,2025-04-28,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,497,458,137,180,1400,5924,13606
18,2025-05-05,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,528,562,1408,1796,1424,6770,13994
19,2025-05-12,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,518,514,154,228,1406,6410,14068
20,2025-05-19,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,546,581,1421,2217,1455,7250,14864
21,2025-05-26,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,559,609,182,273,1468,6823,14955
22,2025-06-02,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,533,542,1298,1816,1468,7579,15473
23,2025-06-09,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,470,516,154,218,1559,7217,15537
24,2025-06-16,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,508,538,1195,1746,1553,7874,16088
25,2025-06-23,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,478,447,134,181,1557,7561,16135
26,2025-06-30,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,531,582,1420,1921,1563,8399,16636
27,2025-07-07,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,434,435,130,202,1605,8094,16708
28,2025-07-14,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,475,470,1206,1622,1576,8830,17124
29,2025-07-21,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,523,571,171,214,1645,8430,17167
30,2025-07-28,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,684,786,1886,2677,1793,9530,17958
31,2025-08-04,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,669,769,1987,2708,1938,10748,18679
32,2025-08-11,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,423,296,713,992,1822,11165,18958
33,2025-08-18,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,444,310,93,126,1693,10948,18991
34,2025-08-25,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,381,353,859,1224,1668,11454,19356
35,2025-09-01,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,432,452,135,200,1690,11137,19421
36,2025-09-08,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,423,430,1119,1493,1714,11826,19795
37,2025-09-15,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,421,407,122,186,1718,11541,19859
38,2025-09-22,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,403,421,1029,1479,1701,12149,20309
39,2025-09-29,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,409,391,117,147,1652,11875,20339
40,2025-10-06,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,458,451,1018,1525,1613,12442,20846
41,2025-10-13,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,404,447,134,186,1644,12129,20898
42,2025-10-20,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,422,467,1037,1420,1727,12699,21281
43,2025-10-27,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,442,468,140,186,1718,12371,21327
44,2025-11-03,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,389,421,1014,1455,1701,12964,21768
45,2025-11-10,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,481,460,138,185,1648,12642,21815
46,2025-11-17,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,457,486,1245,1942,1659,13401,22512
47,2025-11-24,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,434,413,123,192,1671,13111,22581
48,2025-12-01,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,475,492,1145,1808,1662,13764,23244
49,2025-12-08,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,546,573,171,227,1671,13362,23300
50,2025-12-15,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,502,463,1102,1446,1589,14001,23644
51,2025-12-22,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,509,526,157,201,1641,13632,23688
52,2025-12-29,SEM-MCU-001,Microcontrolador ARM Cortex-M4 32-bit,Microcontroladores,4,4.5,539,524,1189,1891,1626,14297,24390
1,2025-01-06,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,740,755,226,328,1528,2471,8102
2,2025-01-13,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,716,782,1770,2521,1547,3459,8853
3,2025-01-20,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,700,668,200,315,1557,2991,8968
4,2025-01-27,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,701,684,1749,2643,1526,4056,9862
5,2025-02-03,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,712,792,237,376,1652,3501,10001
6,2025-02-10,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,772,721,1656,2180,1583,4436,10525
7,2025-02-17,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,682,703,210,331,1611,3943,10646
8,2025-02-24,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,714,789,1729,2287,1682,4883,11204
9,2025-03-03,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,814,869,260,388,1729,4274,11332
10,2025-03-10,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,759,805,1939,2624,1750,5408,12017
11,2025-03-17,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,778,857,257,367,1835,4808,12127
12,2025-03-24,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,777,812,1824,2325,1835,5820,12628
13,2025-03-31,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,766,771,231,343,1840,5280,12740
14,2025-04-07,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,736,745,1791,2418,1856,6326,13367
15,2025-04-14,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,734,680,204,276,1811,5850,13439
16,2025-04-21,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,792,780,1975,2656,1753,7045,14120
17,2025-04-28,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,823,789,236,328,1767,6492,14212
18,2025-05-05,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,735,769,1912,3043,1780,7635,15343
19,2025-05-12,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,731,735,220,332,1823,7120,15455
20,2025-05-19,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,700,647,1677,2586,1728,8150,16364
21,2025-05-26,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,698,769,230,323,1844,7611,16457
22,2025-06-02,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,718,739,1833,2714,1815,8705,17338
23,2025-06-09,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,816,819,245,327,1783,8131,17420
24,2025-06-16,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,743,707,1565,2143,1788,8989,17998
25,2025-06-23,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,698,708,212,272,1795,8493,18058
26,2025-06-30,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,704,761,1762,2489,1824,9494,18785
27,2025-07-07,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,634,585,175,275,1820,9084,18885
28,2025-07-14,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,666,726,1783,2330,1853,10141,19432
29,2025-07-21,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,645,696,208,309,1888,9653,19533
30,2025-07-28,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,993,1141,2794,3940,2036,11306,20679
31,2025-08-04,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,942,1083,2739,4048,2169,12962,21988
32,2025-08-11,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,651,455,1022,1302,2017,13529,22268
33,2025-08-18,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,568,397,119,174,1882,13251,22323
34,2025-08-25,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,575,537,1237,1912,1883,13951,22998
35,2025-09-01,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,517,526,157,234,1916,13582,23075
36,2025-09-08,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,532,582,1449,2218,1951,14449,23844
37,2025-09-15,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,591,639,191,304,1984,14001,23957
38,2025-09-22,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,532,529,1327,1817,1992,14799,24447
39,2025-09-29,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,494,521,156,235,2067,14434,24526
40,2025-10-06,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,580,545,1398,1994,2070,15287,25122
41,2025-10-13,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,597,595,178,223,2036,14870,25167
42,2025-10-20,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,555,520,1197,1894,2002,15547,25864
